"BehaviorSpace results (NetLogo 3D 6.1.0)"
"ABM-working-10-stochastic.nlogo3D"
"NinaExploPerturbDiffMean"
"01/25/2022 12:10:13:656 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","gui-diff-mean","[step]","getSeed","getViability","getRemainingCellRatio"
"3","0","0","140233","100","100"
"1","0","0","769495","100","100"
"4","24","0","439708","100","100"
"2","0","0","599540","100","100"
"3","0","1","140233","99.575","100"
"4","24","1","439708","99.425","100"
"1","0","1","769495","99.5","100"
"2","0","1","599540","99.55000000000001","100"
"4","24","2","439708","98.94973743435858","99.97500000000001"
"1","0","2","769495","98.97423067300475","99.925"
"3","0","2","140233","99.07453726863432","99.95"
"2","0","2","599540","98.8991743807856","99.925"
"1","0","3","769495","98.67234468937876","99.8"
"4","24","3","439708","98.52426213106553","99.95"
"2","0","3","599540","98.57142857142858","99.75"
"3","0","3","140233","98.82352941176471","99.875"
"1","0","4","769495","98.39478304489592","99.675"
"4","24","4","439708","98.09762202753441","99.875"
"3","0","4","140233","98.4206568062171","99.725"
"2","0","4","599540","98.11794228356337","99.625"
"4","24","5","439708","97.59579263711495","99.825"
"1","0","5","769495","97.89103690685414","99.575"
"3","0","5","140233","98.16675037669513","99.55000000000001"
"2","0","5","599540","97.70896273917423","99.3"
"4","24","6","439708","97.01978462309042","99.825"
"1","0","6","769495","97.78393351800554","99.275"
"3","0","6","140233","97.86055877170904","99.325"
"2","0","6","599540","97.47474747474747","99"
"4","24","7","439708","96.74103785409878","99.725"
"1","0","7","769495","97.25233173682884","99.175"
"3","0","7","140233","97.62865792129163","99.1"
"2","0","7","599540","97.29113924050633","98.75"
"1","0","8","769495","97.14430123831185","98.925"
"4","24","8","439708","96.36135508155583","99.625"
"3","0","8","140233","97.44562468386444","98.85000000000001"
"2","0","8","599540","96.90512430238456","98.55000000000001"
"1","0","9","769495","96.88528741453533","98.725"
"4","24","9","439708","95.67621920563097","99.45"
"3","0","9","140233","97.36040609137055","98.5"
"2","0","9","599540","96.81933842239185","98.25"
"1","0","10","769495","96.97431985761506","98.32499999999999"
"4","24","10","439708","95.11826874685455","99.35000000000001"
"3","0","10","140233","97.12541338081913","98.275"
"2","0","10","599540","96.45588985211627","98.05"
"1","0","11","769495","96.76268162120826","98.075"
"4","24","11","439708","94.83106404437721","99.15"
"3","0","11","140233","96.9913309535951","98.05"
"2","0","11","599540","96.3124199743918","97.625"
"4","24","12","439708","94.64240586302755","98.925"
"1","0","12","769495","96.46968534151958","97.725"
"3","0","12","140233","96.80306905370844","97.75"
"2","0","12","599540","96.29820051413883","97.25"
"1","0","13","769495","96.40287769784173","97.3"
"4","24","13","439708","94.55282493032684","98.675"
"3","0","13","140233","96.56410256410255","97.5"
"2","0","13","599540","96.23225806451613","96.875"
"4","24","14","439708","93.98629789393554","98.52499999999999"
"1","0","14","769495","96.2867457452295","96.95"
"2","0","14","599540","96.16580310880829","96.5"
"3","0","14","140233","96.3172804532578","97.075"
"4","24","15","439708","93.94247900229065","98.225"
"1","0","15","769495","96.22250970245796","96.625"
"2","0","15","599540","95.99271402550092","96.075"
"3","0","15","140233","96.07235142118863","96.75"
"4","24","16","439708","93.67023991832568","97.95"
"1","0","16","769495","96.2068069628475","96.22500000000001"
"2","0","16","599540","95.99790740256343","95.575"
"3","0","16","140233","96.10490781615165","96.275"
"4","24","17","439708","93.59138682389131","97.52499999999999"
"1","0","17","769495","96.29533002869815","95.825"
"2","0","17","599540","95.97897503285151","95.125"
"3","0","17","140233","96.03753910323253","95.89999999999999"
"4","24","18","439708","93.62139917695474","97.2"
"1","0","18","769495","96.28174914899188","95.475"
"2","0","18","599540","96.14266842800528","94.625"
"3","0","18","140233","96.04712041884817","95.5"
"4","24","19","439708","93.54338842975206","96.8"
"1","0","19","769495","95.95375722543352","95.15"
"2","0","19","599540","96.15180467091295","94.19999999999999"
"3","0","19","140233","96.1842105263158","95"
"4","24","20","439708","93.43198338525441","96.3"
"1","0","20","769495","95.9830866807611","94.6"
"2","0","20","599540","96.13436416955479","93.77499999999999"
"3","0","20","140233","96.03279555673102","94.525"
"4","24","21","439708","93.37679269882659","95.875"
"1","0","21","769495","95.65562913907286","94.375"
"3","0","21","140233","96.24600638977637","93.89999999999999"
"2","0","21","599540","96.11364245510588","93.27499999999999"
"4","24","22","439708","93.47142108023073","95.35"
"1","0","22","769495","95.61053471667998","93.975"
"3","0","22","140233","96.35681757299758","93.325"
"2","0","22","599540","96.22539768131571","92.72500000000001"
"4","24","23","439708","93.49486436660521","94.925"
"1","0","23","769495","95.55793417179555","93.425"
"3","0","23","140233","96.68463611859839","92.75"
"4","24","24","439708","93.43046357615894","94.375"
"2","0","23","599540","96.42373340558115","92.27499999999999"
"1","0","24","769495","95.61474307237019","92.925"
"3","0","24","140233","96.7479674796748","92.25"
"4","24","25","439708","93.27127659574468","94"
"2","0","24","599540","96.40326975476839","91.75"
"1","0","25","769495","95.3061775020232","92.675"
"3","0","25","140233","96.89627007895454","91.825"
"4","24","26","439708","93.13201496525923","93.55"
"1","0","26","769495","95.47057228098726","92.175"
"2","0","25","599540","96.48834019204389","91.125"
"3","0","26","140233","97.01859956236324","91.4"
"4","24","27","439708","93.0163846360462","93.075"
"1","0","27","769495","95.55979297194224","91.77499999999999"
"2","0","26","599540","96.54696132596685","90.5"
"3","0","27","140233","97.02888583218707","90.875"
"1","0","28","769495","95.29797703663205","91.45"
"2","0","27","599540","96.71948846260773","89.925"
"4","24","28","439708","93.21621621621622","92.5"
"3","0","28","140233","96.6896551724138","90.625"
"1","0","29","769495","95.11123317769844","91.025"
"4","24","29","439708","93.22817514277943","91.925"
"2","0","28","599540","96.73184357541899","89.5"
"3","0","29","140233","96.81263858093126","90.2"
"1","0","30","769495","94.80662983425414","90.5"
"4","24","30","439708","93.43365253077975","91.375"
"2","0","29","599540","96.8285152960988","89.075"
"3","0","30","140233","96.57286152131513","89.725"
"4","24","31","439708","93.5918591859186","90.9"
"1","0","31","769495","94.94303973325924","89.97500000000001"
"2","0","30","599540","96.75782351282774","88.675"
"3","0","31","140233","96.66573269823479","89.225"
"4","24","32","439708","93.76212919323538","90.17500000000001"
"1","0","32","769495","95.15948517067712","89.35"
"2","0","31","599540","96.91218130311616","88.25"
"4","24","33","439708","94.01733296058148","89.425"
"3","0","32","140233","96.59825695811077","88.925"
"2","0","32","599540","96.90164866401363","87.94999999999999"
"1","0","33","769495","94.99155880697805","88.85"
"4","24","34","439708","94.19881723458181","88.775"
"3","0","33","140233","96.5293453724605","88.6"
"2","0","33","599540","96.97056301800514","87.47500000000001"
"1","0","34","769495","95.18686296715741","88.3"
"4","24","35","439708","94.41926345609065","88.25"
"3","0","34","140233","96.45792009067723","88.225"
"2","0","34","599540","96.72883787661407","87.125"
"1","0","35","769495","95.2991452991453","87.75"
"4","24","36","439708","94.5853519521231","87.725"
"3","0","35","140233","96.54778887303851","87.625"
"1","0","36","769495","95.41809851088202","87.3"
"2","0","35","599540","96.91197691197692","86.625"
"4","24","37","439708","94.55587392550143","87.25"
"3","0","36","140233","96.64275466284074","87.125"
"2","0","36","599540","97.01362713830096","86.225"
"1","0","37","769495","95.6221198156682","86.8"
"4","24","38","439708","94.49884792626729","86.8"
"3","0","37","140233","96.53879434669743","86.675"
"2","0","37","599540","96.6802562609202","85.85000000000001"
"1","0","38","769495","95.54398148148148","86.4"
"3","0","38","140233","96.86502177068215","86.125"
"4","24","39","439708","94.66666666666667","86.25"
"2","0","38","599540","96.78268499561275","85.475"
"1","0","39","769495","95.74963609898107","85.875"
"3","0","39","140233","96.67832167832168","85.8"
"4","24","40","439708","94.6095571095571","85.8"
"2","0","39","599540","96.6255868544601","85.2"
"1","0","40","769495","95.86631486367634","85.275"
"4","24","41","439708","94.52896430661205","85.45"
"3","0","40","140233","96.72131147540983","85.39999999999999"
"1","0","41","769495","95.75846833578792","84.875"
"2","0","40","599540","96.55172413793103","84.82499999999999"
"3","0","41","140233","96.55882352941177","85"
"4","24","42","439708","94.59618208516886","85.125"
"1","0","42","769495","95.88148148148147","84.375"
"2","0","41","599540","96.62322274881517","84.39999999999999"
"3","0","42","140233","96.5405085748078","84.55"
"1","0","43","769495","95.86309523809524","84"
"4","24","43","439708","94.45264089701976","84.725"
"2","0","42","599540","96.6030989272944","83.89999999999999"
"3","0","43","140233","96.45938708717644","84.025"
"1","0","44","769495","95.84205803170805","83.575"
"4","24","44","439708","94.57295373665481","84.3"
"2","0","43","599540","96.7326139088729","83.39999999999999"
"3","0","44","140233","96.26754255001492","83.72500000000001"
"1","0","45","769495","95.73317307692307","83.2"
"4","24","45","439708","94.88942020322774","83.65"
"2","0","44","599540","96.8033775633293","82.89999999999999"
"3","0","45","140233","96.12961296129613","83.325"
"1","0","46","769495","95.85727245237375","82.675"
"4","24","46","439708","94.74474474474475","83.25"
"2","0","45","599540","96.72727272727273","82.5"
"3","0","46","140233","96.13876319758673","82.875"
"2","0","46","599540","96.52862362971986","82.1"
"1","0","47","769495","96.01217656012176","82.125"
"4","24","47","439708","94.88808227465215","82.65"
"3","0","47","140233","96.02427921092564","82.375"
"2","0","47","599540","96.7504598405886","81.55"
"1","0","48","769495","96.1456102783726","81.72500000000001"
"4","24","48","439708","95.21778860798051","82.075"
"3","0","48","140233","96.12095296273672","81.85"
"2","0","48","599540","96.82686383240912","81.15"
"1","0","49","769495","96.40110735158413","81.27499999999999"
"4","24","49","439708","95.22643818849448","81.69999999999999"
"3","0","49","140233","96.34183830310482","81.325"
"2","0","49","599540","96.57195799876467","80.95"
"1","0","50","769495","96.2037037037037","81"
"3","0","50","140233","96.35577516985794","80.95"
"4","24","50","439708","95.53846153846153","81.25"
"2","0","50","599540","96.52820830750156","80.65"
"1","0","51","769495","96.3388147688489","80.575"
"3","0","51","140233","96.18367980142725","80.575"
"2","0","51","599540","96.54850746268657","80.4"
"4","24","51","439708","95.69526169092597","80.72500000000001"
"1","0","52","769495","96.3182527301092","80.125"
"3","0","52","140233","96.1981925833593","80.22500000000001"
"4","24","52","439708","95.75795383655645","80.15"
"2","0","52","599540","96.2916796509816","80.22500000000001"
"1","0","53","769495","96.54522613065326","79.60000000000001"
"3","0","53","140233","96.15504845264144","79.975"
"2","0","53","599540","96.21046038208581","79.825"
"4","24","53","439708","95.7640414182617","79.675"
"1","0","54","769495","96.6235405490691","79.225"
"3","0","54","140233","96.07781612802007","79.675"
"2","0","54","599540","96.34760705289672","79.4"
"4","24","54","439708","95.77153676238561","79.225"
"1","0","55","769495","96.53858367735789","78.725"
"3","0","55","140233","96.15141955835962","79.25"
"2","0","55","599540","96.3619107877254","79.025"
"4","24","55","439708","95.90216010165184","78.7"
"1","0","56","769495","96.5847430577721","78.325"
"2","0","56","599540","96.49904519414386","78.55"
"3","0","56","140233","96.28689304982545","78.77499999999999"
"4","24","56","439708","96.02945885366636","78.075"
"1","0","57","769495","96.62487945998072","77.775"
