"BehaviorSpace results (NetLogo 3D 6.1.0)"
"ABM-working-10-stochastic.nlogo3D"
"NinaExploPerturbNLCProtection"
"01/25/2022 11:17:10:001 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","gui-alpha","[step]","getSeed","getViability","getRemainingCellRatio"
"3","0","0","481802","100","100"
"2","0","0","144971","100","100"
"4","10","0","612836","100","100"
"1","0","0","154471","100","100"
"3","0","1","481802","99.35000000000001","100"
"2","0","1","144971","99.55000000000001","100"
"4","10","1","612836","99.375","100"
"1","0","1","154471","99.6","100"
"2","0","2","144971","99.02499999999999","100"
"3","0","2","481802","98.825","100"
"4","10","2","612836","98.84971242810703","99.97500000000001"
"1","0","2","154471","99.075","100"
"2","0","3","144971","98.52463115778944","99.97500000000001"
"3","0","3","481802","98.32458114528632","99.97500000000001"
"4","10","3","612836","98.42460615153789","99.97500000000001"
"1","0","3","154471","98.675","100"
"2","0","4","144971","98.0995248812203","99.97500000000001"
"3","0","4","481802","97.89894947473738","99.95"
"4","10","4","612836","97.69942485621405","99.97500000000001"
"1","0","4","154471","98.32499999999999","100"
"2","0","5","144971","97.67441860465115","99.97500000000001"
"4","10","5","612836","97.42371185592796","99.95"
"3","0","5","481802","97.54877438719359","99.95"
"1","0","5","154471","97.75","100"
"2","0","6","144971","97.1228421315987","99.925"
"4","10","6","612836","96.57328664332167","99.95"
"3","0","6","481802","97.14786089567176","99.925"
"1","0","6","154471","97.22430607651913","99.97500000000001"
"2","0","7","144971","96.74430252942649","99.825"
"4","10","7","612836","96.270337922403","99.875"
"3","0","7","481802","96.69669669669669","99.9"
"1","0","7","154471","96.84684684684684","99.9"
"2","0","8","144971","96.36773547094188","99.8"
"3","0","8","481802","96.34451677516275","99.85000000000001"
"4","10","8","612836","95.94188376753507","99.8"
"1","0","8","154471","96.32132132132132","99.9"
"2","0","9","144971","95.98997493734336","99.75"
"3","0","9","481802","95.94188376753507","99.8"
"4","10","9","612836","95.73934837092732","99.75"
"1","0","9","154471","95.96693386773548","99.8"
"2","0","10","144971","95.66307345199299","99.725"
"3","0","10","481802","95.51378446115288","99.75"
"4","10","10","612836","95.33717723740286","99.725"
"1","0","10","154471","95.43973941368078","99.775"
"2","0","11","144971","95.28467519438173","99.675"
"3","0","11","481802","94.90972918756269","99.7"
"4","10","11","612836","95.08032128514057","99.6"
"1","0","11","154471","94.8608673853096","99.725"
"2","0","12","144971","94.90589711417817","99.625"
"3","0","12","481802","94.57967377666249","99.625"
"4","10","12","612836","94.65227215666583","99.575"
"1","0","12","154471","94.22980431510285","99.65"
"2","0","13","144971","94.32588501129801","99.575"
"3","0","13","481802","94.1988950276243","99.55000000000001"
"4","10","13","612836","93.97136397889977","99.52499999999999"
"1","0","13","154471","93.80175658720201","99.625"
"2","0","14","144971","93.99799095931692","99.55000000000001"
"3","0","14","481802","93.79241015330486","99.47500000000001"
"4","10","14","612836","93.74057315233786","99.45"
"1","0","14","154471","93.32161687170475","99.575"
"2","0","15","144971","93.594574227581","99.52499999999999"
"3","0","15","481802","93.36183052552175","99.425"
"4","10","15","612836","93.0566037735849","99.375"
"2","0","16","144971","93.0635838150289","99.47500000000001"
"1","0","15","154471","92.81407035175879","99.5"
"3","0","16","481802","93.02793858545179","99.325"
"4","10","16","612836","92.72773024660293","99.35000000000001"
"2","0","17","144971","92.63448969331323","99.45"
"1","0","16","154471","92.60935143288084","99.45"
"3","0","17","481802","92.6233635448137","99.3"
"4","10","17","612836","92.44522790229162","99.275"
"2","0","18","144971","92.30575810912748","99.425"
"1","0","17","154471","92.22641509433961","99.375"
"3","0","18","481802","92.34449760765551","99.275"
"4","10","18","612836","91.93751574703955","99.225"
"2","0","19","144971","92.0503144654088","99.375"
"1","0","18","154471","91.81360201511335","99.25"
"3","0","19","481802","92.01108870967742","99.2"
"4","10","19","612836","91.62884518406455","99.15"
"2","0","20","144971","91.60997732426304","99.225"
"1","0","19","154471","91.50919627110103","99.225"
"3","0","20","481802","91.45449962188052","99.175"
"4","10","20","612836","91.21877365632098","99.075"
"2","0","21","144971","91.17498739283914","99.15"
"1","0","20","154471","91.00075623897152","99.175"
"3","0","21","481802","91.2143398131785","99.02499999999999"
"4","10","21","612836","90.6060606060606","99"
"2","0","22","144971","90.88844018172641","99.05000000000001"
"1","0","21","154471","90.66363865758264","99.075"
"3","0","22","481802","90.87923193532087","98.95"
"4","10","22","612836","90.26794742163801","98.9"
"2","0","23","144971","90.56651492159838","98.85000000000001"
"1","0","22","154471","90.33072456450391","99.02499999999999"
"3","0","23","481802","90.26302478502782","98.85000000000001"
"4","10","23","612836","89.85323886639675","98.8"
"2","0","24","144971","90.22042057258678","98.675"
"1","0","23","154471","89.79540287951502","98.97500000000001"
"3","0","24","481802","89.72931950417404","98.825"
"4","10","24","612836","89.38434253863694","98.675"
"2","0","25","144971","89.83265720081135","98.6"
"1","0","24","154471","89.4790085988872","98.85000000000001"
"3","0","25","481802","89.36708860759494","98.75"
"4","10","25","612836","89.11995942176009","98.575"
"2","0","26","144971","89.42429622115141","98.575"
"1","0","25","154471","89.01821862348179","98.8"
"3","0","26","481802","89.02408111533587","98.625"
"4","10","26","612836","88.73096446700508","98.5"
"2","0","27","144971","89.10337820675642","98.425"
"1","0","26","154471","88.57938718662952","98.725"
"3","0","27","481802","88.53082973864501","98.52499999999999"
"4","10","27","612836","88.43710292249047","98.375"
"2","0","28","144971","88.89171326893747","98.35000000000001"
"1","0","27","154471","88.22188449848024","98.7"
"3","0","28","481802","88.09644670050761","98.5"
"4","10","28","612836","88.01831595013991","98.275"
"2","0","29","144971","88.3969465648855","98.25"
"1","0","28","154471","87.85804816223067","98.625"
"3","0","29","481802","87.77015001271295","98.32499999999999"
"4","10","29","612836","87.78004073319755","98.2"
"2","0","30","144971","87.97758532857871","98.15"
"1","0","29","154471","87.56660746003553","98.52499999999999"
"3","0","30","481802","87.65589208449988","98.225"
"4","10","30","612836","87.484068315065","98.075"
"2","0","31","144971","87.58286588475268","98.05"
"1","0","30","154471","87.14757429514859","98.425"
"3","0","31","481802","87.3375796178344","98.125"
"4","10","31","612836","87.26715998979331","97.975"
"2","0","32","144971","87.36600306278713","97.95"
"3","0","32","481802","87.02757916241062","97.89999999999999"
"1","0","31","154471","87.02620198422794","98.275"
"4","10","32","612836","86.83001531393569","97.95"
"2","0","33","144971","87.1486969851814","97.85000000000001"
"3","0","33","481802","86.70416773203785","97.775"
"1","0","32","154471","86.58350305498982","98.2"
"4","10","33","612836","86.5423901940756","97.89999999999999"
"2","0","34","144971","86.77749360613811","97.75"
"3","0","34","481802","86.36131013306039","97.7"
"1","0","33","154471","86.19108280254777","98.125"
"4","10","34","612836","86.29156010230179","97.75"
"2","0","35","144971","86.60005124263387","97.575"
"3","0","35","481802","86.03280369041516","97.55"
"1","0","34","154471","85.87815447361713","98.075"
"4","10","35","612836","85.8678955453149","97.65"
"2","0","36","144971","86.15384615384616","97.5"
"3","0","36","481802","85.66299051038729","97.475"
"1","0","35","154471","85.6704980842912","97.875"
