"BehaviorSpace results (NetLogo 3D 6.1.0)"
"ABM-working-10-stochastic.nlogo3D"
"NinaExploPerturbSigInitStd"
"01/25/2022 12:05:51:222 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","gui-sig-init-std","[step]","getSeed","getViability","getRemainingCellRatio"
"4","10","0","875930","100","100"
"1","0","0","132753","100","100"
"2","0","0","326117","100","100"
"3","0","0","436237","100","100"
"1","0","1","132753","99.55000000000001","100"
"4","10","1","875930","99.425","100"
"2","0","1","326117","99.55000000000001","100"
"3","0","1","436237","99.45","100"
"1","0","2","132753","99.1","100"
"2","0","2","326117","99.175","100"
"3","0","2","436237","98.875","100"
"4","10","2","875930","99","100"
"1","0","3","132753","98.8","100"
"4","10","3","875930","98.54963740935234","99.97500000000001"
"2","0","3","326117","98.75","100"
"3","0","3","436237","98.52463115778944","99.97500000000001"
"4","10","4","875930","98.09904952476238","99.95"
"1","0","4","132753","98.32499999999999","100"
"2","0","4","326117","98.44922461230615","99.95"
"3","0","4","436237","97.82445611402851","99.97500000000001"
"1","0","5","132753","98.05","100"
"2","0","5","326117","97.74887443721862","99.95"
"3","0","5","436237","97.17429357339334","99.97500000000001"
"4","10","5","875930","97.5975975975976","99.9"
"1","0","6","132753","97.725","100"
"2","0","6","326117","97.24724724724724","99.9"
"4","10","6","875930","97.2215269086358","99.875"
"3","0","6","436237","96.54913728432109","99.97500000000001"
"1","0","7","132753","97.37368684342171","99.95"
"2","0","7","326117","96.81943400951666","99.825"
"3","0","7","436237","96.22122122122121","99.9"
"4","10","7","875930","96.72090112640801","99.875"
"1","0","8","132753","96.89612015018774","99.875"
"2","0","8","326117","96.34268537074149","99.8"
"4","10","8","875930","96.41962944416626","99.85000000000001"
"3","0","8","436237","95.6685027541312","99.85000000000001"
"1","0","9","132753","96.54221999498873","99.775"
"2","0","9","326117","96.03910754575081","99.725"
"3","0","9","436237","95.29058116232466","99.8"
"4","10","9","875930","96.04307538191836","99.825"
"1","0","10","132753","95.91581057379102","99.775"
"3","0","10","436237","94.73816086193936","99.775"
"2","0","10","326117","95.68706118355065","99.7"
"4","10","10","875930","95.51603206412825","99.8"
"1","0","11","132753","95.71428571428572","99.75"
"3","0","11","436237","94.33299899699097","99.7"
"2","0","11","326117","95.41008276899925","99.675"
"4","10","11","875930","95.08895013781007","99.775"
"1","0","12","132753","95.43516428392275","99.675"
"3","0","12","436237","93.85348720521827","99.65"
"2","0","12","326117","95.05522088353415","99.6"
