apoCellsMovementProba,needSigCellsMvtProba,layersAroundNLC,alpha,monoPhagoEff,NLCPhagoEff,M2PhagoEff,M2KillEff,cllSensingDistance,monocyteSensingDistance,nlcSensingDistance,macrophageSensingDistance,nLCThreshold,signalInitMean,signalInitStd,diffTime,diffTimeStd,fitnessVia,fitnessConc,evolution$samples
10,6,1,38,1,9,10,0,3,1,1,3,138,56,8,89,14,62.073022890657064,1359.2492544837,100.0
10,6,1,38,1,9,10,0,3,1,1,3,138,56,8,89,14,62.82291055331809,1359.2492544837,100.0
10,6,1,38,1,9,10,0,3,1,1,3,138,56,8,89,14,63.00473905433111,1364.2711824837,100.0
10,6,1,38,1,9,10,0,3,1,1,3,138,56,8,89,14,63.00473905433111,1359.2492544837,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,63.66622903364843,1223.3714204837,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,64.11730634570537,1223.3714204837,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,64.36944006770076,1347.1682764836999,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,64.36944006770076,1352.6957914837005,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,64.36944006770076,1353.8971854837,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,64.81970679281653,1347.1682764836999,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,64.81970679281653,1352.6957914837005,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,64.81970679281653,1365.4526814837002,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,64.81970679281653,1340.5984604837006,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,64.81970679281653,1397.2426854837,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,64.81970679281653,1382.1603594837002,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,64.81970679281653,1371.5071914837006,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,64.82444187640635,1347.1682764836999,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,64.82444187640635,1340.5984604837006,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,64.97133158613906,1371.5071914837006,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,65.2575189252247,1383.1466494837002,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,65.2575189252247,1374.3541554837002,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,65.2575189252247,1397.2426854837,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,65.2575189252247,1371.5071914837006,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,65.26225400881452,1353.8971854837,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,65.28286979539794,1397.2426854837,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,65.28286979539794,1376.1058494837002,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,65.37846231048316,1223.3714204837,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,65.49289981241344,1385.6225174837002,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,65.49289981241344,1397.2426854837,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,65.49289981241344,1353.8971854837,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,65.49289981241344,1405.2998504836999,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,65.49289981241344,1394.4150114837005,100.0
10,9,1,38,1,9,9,0,3,1,1,3,138,56,8,89,14,65.65880403153575,1279.3398144837,100.0
10,6,1,38,1,9,10,0,3,1,1,3,138,56,8,89,14,65.72175485162514,1359.2492544837,100.0
10,6,1,38,1,9,10,0,3,1,1,3,138,56,8,89,14,65.79036161403461,1355.4435824836999,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,65.805500134954,1397.2426854837,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,65.89924123781802,1376.6533434837006,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,65.89924123781802,1374.3541554837002,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,65.89924123781802,1372.5200104837006,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,66.03122419882574,1406.0390654837,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,66.03122419882574,1402.0080104836995,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,66.03122419882574,1402.4375874836999,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,66.03304881938257,1239.8317714837005,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,66.03323955969215,1405.2998504836999,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,66.09292156610752,1385.6225174837002,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,66.09292156610752,1384.7746624837002,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,66.09292156610752,1372.5200104837006,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,66.09292156610752,1374.3541554837002,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,66.15215955394325,1397.2426854837,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,66.15215955394325,1402.4375874836999,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,66.15215955394325,1406.0390654837,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,66.2589636235639,1406.0390654837,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,66.2589636235639,1402.4375874836999,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,66.2589636235639,1397.2426854837,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,66.2589636235639,1402.0080104836995,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,66.3648896662527,1240.3479414837002,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,66.3648896662527,1223.3714204837,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,66.3648896662527,1231.1668984837002,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,66.54996985510148,1397.2426854837,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,66.54996985510148,1402.4375874836999,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,66.54996985510148,1409.8952954837002,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,66.54996985510148,1402.0080104836995,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,66.54996985510148,1406.0390654837,100.0
10,9,1,38,1,9,9,0,3,1,1,3,138,56,8,89,14,66.55947525244639,1279.3398144837,100.0
10,9,1,38,1,9,9,0,3,1,1,3,138,56,8,89,14,66.55947525244639,1304.1918704837005,100.0
10,9,1,38,1,9,9,0,3,1,1,3,138,56,8,89,14,66.55947525244639,1302.0798854837005,100.0
10,9,1,38,1,9,9,0,3,1,1,3,138,56,8,89,14,66.55947525244639,1293.7310374837002,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,66.65430026204905,1239.8317714837005,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,66.65430026204905,1234.8418484837005,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,66.67115357501592,1234.8418484837005,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,66.67115357501592,1247.5714114837006,100.0
10,9,1,38,1,9,9,0,3,1,1,3,138,56,8,89,14,66.72479828314036,1293.7310374837002,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,66.83181977792395,1372.5200104837006,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,66.83181977792395,1374.3541554837002,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,66.86678466436965,1223.3714204837,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,66.86678466436965,1240.3479414837002,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,66.86678466436965,1231.1668984837002,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,67.1224544269774,1242.7701674837006,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,67.13004871083187,1234.8418484837005,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,67.13004871083187,1224.7978904837005,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,67.13004871083187,1239.8317714837005,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,67.13004871083187,1239.3475614837005,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,67.13004871083187,1255.4239564837005,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,67.13004871083187,1247.5714114837006,100.0
10,9,1,38,1,10,8,1,3,1,1,3,138,56,11,89,14,67.22313688278246,1456.6421034836999,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,67.23892111671721,1247.5714114837006,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,67.23892111671721,1239.8317714837005,100.0
10,9,1,38,1,10,8,1,3,1,1,3,138,56,11,89,14,67.25049398182479,1456.6421034836999,100.0
10,9,1,38,1,10,8,1,3,1,1,3,138,56,11,89,14,67.25049398182479,1444.6797634836998,100.0
10,9,1,38,1,10,8,1,3,1,1,3,138,56,11,89,14,67.25049398182479,1453.0133734837,100.0
10,9,1,38,1,9,9,0,3,1,1,3,138,56,8,89,14,67.28643431187571,1293.7310374837002,100.0
10,9,1,38,1,9,9,0,3,1,1,3,138,56,8,89,14,67.28643431187571,1261.3355254837002,100.0
10,9,1,38,1,9,9,0,3,1,1,3,138,56,8,89,14,67.28643431187571,1302.0798854837005,100.0
10,9,1,38,1,10,8,1,3,1,1,3,138,56,11,89,14,67.29956314248524,1444.6797634836998,100.0
10,9,1,38,1,10,8,1,3,1,1,3,138,56,11,89,14,67.29956314248524,1459.4599544837,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,67.30445418449858,1239.3475614837005,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,67.30445418449858,1247.5714114837006,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,67.30445418449858,1224.7978904837005,100.0
10,9,1,38,1,9,9,0,3,1,1,3,138,56,8,89,14,67.34365567497865,1309.6985304837006,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,67.37827445113167,1397.2426854837,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,67.37827445113167,1405.2998504836999,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,67.40303513324727,1397.2426854837,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,67.40303513324727,1402.7472254836996,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,67.40303513324727,1402.0080104836995,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,67.40303513324727,1406.0390654837,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,67.40303513324727,1402.4375874836999,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,67.40303513324727,1397.5523234836999,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,67.41332659038392,1234.8418484837005,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,67.41332659038392,1239.8317714837005,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,67.41332659038392,1212.2493514837,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,67.43795645754703,1371.5071914837006,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,67.43795645754703,1372.5200104837006,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,67.48284701202792,1234.5918424837002,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,67.48284701202792,1240.3479414837002,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,67.48284701202792,1228.1032304837,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,67.48284701202792,1231.1668984837002,100.0
10,9,1,50,1,9,9,1,3,1,1,3,138,56,8,89,14,67.54834532755176,1397.2426854837,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,67.56401109203647,1236.8244184837006,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,67.56401109203647,1231.4052994837007,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,67.56401109203647,1252.1900294837005,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,67.56401109203647,1219.9154474837005,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,67.56401109203647,1242.7701674837006,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,67.56401109203647,1254.4878354836999,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,67.56401109203647,1260.6927064837005,100.0
10,9,1,50,1,9,9,0,3,1,1,3,138,56,8,89,18,67.56401109203647,1258.0416824837002,100.0
9,4,1,38,1,10,8,0,3,1,1,3,138,56,11,89,14,67.57453929679878,1365.6237084837005,100.0
10,9,1,49,1,8,9,0,3,1,1,3,138,56,8,89,18,67.61964937753723,1261.9586694837005,100.0
