apoCellsMovementProba,needSigCellsMvtProba,layersAroundNLC,antiApoBoost,monoPhagoEff,nlcPhagoEff,macroPhagoEff,macroKillEff,cllSensingDistance,monocyteSensingDistance,nlcSensingDistance,macrophageSensingDistance,nlcThreshold,signalInitMean,signalInitStd,monoDiffThreshold,monoDiffTimeStd,gammaLifeInitRate,gammaLifeInitShape,fitnessVia,fitnessConc,evolution$samples
7,4,2,229,61,1,33,4,2,2,1,1,106,49,26,68,0,2367,0.268057841048476,144.96823260231997,1325.1300000000006,54.0
7,4,2,229,61,1,33,4,2,2,1,1,106,49,26,68,0,2367,0.268057841048476,144.96823260231997,1336.8650000000005,52.0
7,4,2,229,61,1,33,4,2,2,1,1,106,49,26,68,0,2367,0.268057841048476,145.38690536952254,1334.7400000000005,53.0
7,4,2,229,61,1,33,4,2,2,1,1,106,49,26,68,0,2367,0.268057841048476,145.38690536952254,1334.7400000000005,51.0
7,4,2,229,61,1,33,4,2,2,1,1,106,49,26,68,0,2367,0.268057841048476,145.9241283343515,1325.1300000000006,50.0
7,4,2,229,61,1,33,0,2,2,1,1,106,34,26,68,0,2367,0.2700215139019599,146.6022585293159,1145.935,50.0
7,4,2,229,61,1,33,0,2,2,1,1,106,34,26,68,0,2367,0.2700215139019599,147.3671057677834,1149.87,51.0
7,4,2,229,61,1,33,0,2,2,1,1,106,34,26,68,0,2367,0.2700215139019599,148.55039582415753,1145.935,52.0
7,4,2,229,61,1,33,0,2,2,1,1,106,34,26,68,0,2367,0.2700215139019599,149.73368588053168,1164.64,55.0
7,4,2,229,61,1,33,0,2,2,1,1,106,34,26,68,0,2367,0.2700215139019599,149.73368588053168,1149.87,53.0
7,4,2,229,61,1,33,0,2,2,1,1,106,34,26,68,0,2367,0.2700215139019599,149.73368588053168,1164.64,63.0
7,4,2,229,61,1,33,0,2,2,1,1,106,34,26,68,0,2367,0.2700215139019599,150.67905189826155,1175.37,58.0
7,4,2,229,61,1,33,0,2,2,1,1,106,34,26,68,0,2367,0.2700215139019599,150.67905189826155,1169.2600000000002,62.0
7,4,2,229,61,1,33,0,2,2,1,1,106,34,26,68,0,2367,0.2700215139019599,150.67905189826155,1157.255,54.0
7,4,2,229,61,1,33,0,2,2,1,1,106,34,26,68,0,2367,0.2700215139019599,150.67905189826155,1169.2600000000002,56.0
7,4,2,229,61,1,33,0,2,2,1,1,106,34,26,68,0,2367,0.2700215139019599,151.6244179159914,1176.86,59.0
7,4,2,229,61,1,33,0,2,2,1,1,106,34,26,68,0,2367,0.2700215139019599,151.6244179159914,1173.8800000000003,61.0
7,4,2,229,61,1,33,0,2,2,1,1,106,34,26,68,0,2367,0.2700215139019599,151.6244179159914,1173.8800000000003,57.0
7,4,2,229,61,1,33,0,2,2,1,1,106,34,26,68,0,2367,0.2700215139019599,159.36699461367513,1175.37,60.0
4,2,2,125,79,0,11,4,1,2,1,3,135,6,11,61,33,1143,0.3726739498483704,243.73440312388288,1172.8900000000008,53.0
4,2,2,125,79,0,11,4,1,2,1,3,135,6,11,61,33,1143,0.3726739498483704,244.4131394892868,1167.3450000000007,52.0
4,2,2,125,79,0,11,4,1,2,1,3,135,6,11,61,33,1143,0.3726739498483704,245.09187585469076,1161.8000000000006,51.0
4,2,2,125,79,0,11,4,1,2,1,3,135,6,11,61,33,1143,0.3726739498483704,248.1662716884638,1156.0650000000007,50.0
0,7,1,122,45,4,48,2,3,2,2,1,159,24,18,66,3,2114,0.2863350533892955,285.7671974451986,1625.5899999999997,64.0
0,7,1,122,45,4,48,2,3,2,2,1,159,24,18,66,3,2114,0.2863350533892955,286.06947468781294,1608.1799999999998,65.0
0,7,1,122,45,4,48,2,3,2,2,1,159,24,18,66,3,2114,0.2863350533892955,286.06947468781294,1581.53,71.0
0,7,1,122,45,4,48,2,3,2,2,1,159,24,18,66,3,2114,0.2863350533892955,286.06947468781294,1642.9999999999998,63.0
0,7,2,101,61,8,3,2,2,2,1,1,128,49,16,49,18,2320,0.3061391525170751,287.2863787973955,495.255,50.0
0,7,1,122,45,4,48,2,3,2,2,1,159,24,18,66,3,2114,0.2863350533892955,289.71800880340254,1594.855,72.0
0,7,1,122,45,4,48,2,3,2,2,1,159,24,18,66,3,2114,0.2863350533892955,289.71800880340254,1625.5899999999997,66.0
0,7,1,122,45,4,48,2,3,2,2,1,159,24,18,66,3,2114,0.2863350533892955,289.71800880340254,1625.5899999999997,62.0
0,7,1,122,45,4,48,2,3,2,2,1,159,24,18,66,3,2114,0.2863350533892955,289.71800880340254,1594.855,70.0
0,7,2,101,61,8,3,2,2,2,1,1,128,49,16,49,18,2320,0.3061391525170751,290.048977651176,497.32,51.0
0,7,1,122,45,4,48,2,3,2,2,1,159,24,18,66,3,2114,0.2863350533892955,292.79399003111746,1612.265,52.0
0,7,1,122,45,4,48,2,3,2,2,1,159,24,18,66,3,2114,0.2863350533892955,293.3665429189921,1608.1799999999998,67.0
