delta_fitness_via,delta_fitness_conc, apoCellsMovementProba, needSigCellsMvtProba, layersAroundNLC, antiApoBoost, monoPhagoEff, nlcPhagoEff, macroPhagoEff, macroKillEff, cllSensingDistance, monocyteSensingDistance, nlcSensingDistance, macrophageSensingDistance, nlcThreshold, signalInitMean, signalInitStd, monoDiffThreshold , monoDiffTimeStd, gammaLifeInitRate, gammaLifeInitShape
465.1930627904881,1608.7988000000005,5, 7, 2, 95, 97, 89, 86, 4, 3, 3, 3, 3, 139, 2, 22, 65, 7, 2426, 0.2879147625140615
468.6698488593412,1588.6708000000003,5, 7, 2, 95, 97, 89, 86, 4, 3, 3, 3, 3, 139, 2, 22, 65, 7, 2426, 0.2879147625140615
470.7308264584941,1579.5528000000004,5, 7, 2, 95, 97, 89, 86, 4, 3, 3, 3, 3, 139, 2, 22, 65, 7, 2426, 0.2879147625140615
479.8422260418014,1438.2638000000006,5, 5, 2, 79, 97, 65, 86, 5, 3, 3, 3, 3, 97, 46, 22, 65, 7, 2426, 0.2737160906746839
481.2717648493304,1436.4428000000005,5, 5, 2, 79, 97, 65, 86, 5, 3, 3, 3, 3, 97, 46, 22, 65, 7, 2426, 0.2737160906746839
482.10263733507554,1433.5228000000006,5, 5, 2, 79, 97, 65, 86, 5, 3, 3, 3, 3, 97, 46, 22, 65, 7, 2426, 0.2737160906746839
484.4984967827459,1430.6028000000006,5, 5, 2, 79, 97, 65, 86, 5, 3, 3, 3, 3, 97, 46, 22, 65, 7, 2426, 0.2737160906746839
484.73077955374,1429.4518000000007,5, 5, 2, 79, 97, 65, 86, 5, 3, 3, 3, 3, 97, 46, 22, 65, 7, 2426, 0.2737160906746839
484.9630623247341,1428.300800000001,5, 5, 2, 79, 97, 65, 86, 5, 3, 3, 3, 3, 97, 46, 22, 65, 7, 2426, 0.2737160906746839
491.5919337585746,1427.4518000000007,5, 5, 2, 79, 97, 65, 86, 5, 3, 3, 3, 3, 97, 46, 22, 65, 7, 2426, 0.2737160906746839
507.9226379073099,1213.4368000000004,7, 1, 2, 95, 96, 58, 86, 0, 2, 3, 3, 3, 134, 26, 7, 49, 5, 2426, 0.2897534175017482
658.6286909708925,779.7398000000002,7, 5, 2, 95, 96, 52, 86, 1, 2, 1, 3, 3, 134, 6, 7, 68, 5, 2426, 0.3408176175320361
661.6715184971058,768.9148000000001,7, 5, 2, 95, 96, 52, 86, 1, 2, 1, 3, 3, 134, 6, 7, 68, 5, 2426, 0.3408176175320361
927.6669710418056,300.11480000000006,8, 0, 2, 261, 89, 52, 100, 0, 3, 3, 3, 1, 97, 15, 29, 65, 22, 2361, 0.3681916653351543
934.038701137683,299.2928,8, 0, 2, 261, 89, 52, 100, 0, 3, 3, 3, 1, 97, 15, 29, 65, 22, 2361, 0.3681916653351543
1146.0907599014365,231.40580000000023,7, 1, 2, 225, 96, 37, 30, 1, 2, 3, 3, 3, 109, 6, 26, 71, 5, 2426, 0.3419692232780379
2060.723602188701,208.93080000000023,7, 10, 2, 225, 96, 29, 30, 1, 2, 3, 2, 3, 109, 48, 26, 71, 5, 2426, 0.2936226293680157
5035.502948481784,201.96680000000015,1, 1, 1, 260, 96, 71, 26, 2, 2, 3, 1, 3, 147, 22, 20, 61, 7, 2255, 0.237998488899895
5138.062221426416,201.5728000000001,1, 1, 1, 260, 96, 71, 26, 2, 2, 3, 1, 3, 147, 22, 20, 61, 7, 2255, 0.237998488899895
5143.017645142834,201.4858000000001,1, 1, 1, 260, 96, 71, 26, 2, 2, 3, 1, 3, 147, 22, 20, 61, 7, 2255, 0.237998488899895
5196.454154004891,199.74480000000025,1, 1, 1, 260, 96, 71, 26, 2, 2, 3, 1, 3, 147, 22, 20, 61, 7, 2255, 0.237998488899895
6371.3627178059805,188.91880000000023,9, 0, 2, 141, 96, 32, 26, 2, 2, 3, 2, 3, 185, 59, 40, 65, 7, 2406, 0.2114545482637408
6395.514302034373,188.44680000000025,9, 0, 2, 141, 96, 32, 26, 2, 2, 3, 2, 3, 185, 59, 40, 65, 7, 2406, 0.2114545482637408
6419.6658862627655,187.9748000000002,9, 0, 2, 141, 96, 32, 26, 2, 2, 3, 2, 3, 185, 59, 40, 65, 7, 2406, 0.2114545482637408
6431.4877938776335,187.86780000000016,9, 0, 2, 141, 96, 32, 26, 2, 2, 3, 2, 3, 185, 59, 40, 65, 7, 2406, 0.2114545482637408
7974.137389664764,185.55280000000027,9, 0, 2, 98, 96, 32, 26, 2, 3, 3, 1, 2, 185, 6, 40, 65, 7, 2406, 0.1978399654397949
7987.016328799148,184.61480000000023,9, 0, 2, 98, 96, 32, 26, 2, 3, 3, 1, 2, 185, 6, 40, 65, 7, 2406, 0.1978399654397949
13162.11963197515,178.56480000000013,4, 5, 2, 261, 97, 58, 22, 1, 1, 3, 1, 3, 185, 22, 14, 65, 7, 1439, 0.1933765906650332
13187.337745069552,178.35280000000014,4, 5, 2, 261, 97, 58, 22, 1, 1, 3, 1, 3, 185, 22, 14, 65, 7, 1439, 0.1933765906650332
16308.82786471838,176.90980000000013,7, 5, 2, 95, 97, 56, 22, 1, 1, 3, 1, 3, 185, 62, 22, 64, 7, 2426, 0.1298217912543126
18196.177997173843,176.39280000000025,7, 5, 2, 261, 97, 59, 22, 1, 1, 3, 1, 3, 185, 22, 14, 64, 7, 1439, 0.1532842680790643
18214.1642689456,175.05680000000012,7, 5, 2, 261, 97, 59, 22, 1, 1, 3, 1, 3, 185, 22, 14, 64, 7, 1439, 0.1532842680790643
21735.4012120762,174.8278000000002,9, 5, 2, 261, 97, 65, 22, 1, 1, 3, 1, 3, 185, 22, 14, 65, 7, 1439, 0.1308902794713894
28019.340365606804,167.21080000000038,2, 5, 1, 95, 97, 56, 22, 0, 1, 3, 1, 3, 160, 22, 14, 65, 7, 709, 0.1339915528415159
28063.48146686495,166.96680000000023,2, 5, 1, 95, 97, 56, 22, 0, 1, 3, 1, 3, 160, 22, 14, 65, 7, 709, 0.1339915528415159
